properties{
  x = 0,
  y = 0,
  width = 560,
  height = 1700,
  min_layer = 0,
  max_layer = 2,
  floor = -1,
  tileset = "cave",
  music = "lunarius",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 560,
  height = 1640,
  pattern = "hole",
}

tile{
  layer = 0,
  x = 96,
  y = 64,
  width = 8,
  height = 24,
  pattern = "stairs_inner_up.1.border.1",
}

tile{
  layer = 0,
  x = 104,
  y = 64,
  width = 16,
  height = 24,
  pattern = "stairs_inner_up.1",
}

tile{
  layer = 0,
  x = 120,
  y = 64,
  width = 8,
  height = 24,
  pattern = "stairs_inner_up.1.border.2",
}

tile{
  layer = 0,
  x = 80,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 64,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 128,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 144,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 160,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 176,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 192,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 208,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 224,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 240,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 256,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 272,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 288,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 304,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 80,
  y = 56,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 64,
  y = 56,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 128,
  y = 56,
  width = 144,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 272,
  y = 56,
  width = 48,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 168,
  y = 184,
  width = 24,
  height = 16,
  pattern = "stairs_inner_up.4",
}

tile{
  layer = 0,
  x = 168,
  y = 200,
  width = 24,
  height = 8,
  pattern = "stairs_inner_up.4.border.2",
}

tile{
  layer = 0,
  x = 168,
  y = 176,
  width = 24,
  height = 8,
  pattern = "stairs_inner_up.4.border.1",
}

tile{
  layer = 0,
  x = 272,
  y = 176,
  width = 24,
  height = 8,
  pattern = "stairs_inner_up.3.border.1",
}

tile{
  layer = 0,
  x = 272,
  y = 184,
  width = 24,
  height = 16,
  pattern = "stairs_inner_up.3",
}

tile{
  layer = 0,
  x = 272,
  y = 200,
  width = 24,
  height = 8,
  pattern = "stairs_inner_up.3.border.2",
}

tile{
  layer = 0,
  x = 88,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 88,
  y = 56,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 96,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 96,
  y = 56,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 64,
  y = 88,
  width = 128,
  height = 144,
  pattern = "floor.cracked.7",
}

tile{
  layer = 0,
  x = 200,
  y = 96,
  width = 48,
  height = 80,
  pattern = "water",
}

tile{
  layer = 0,
  x = 248,
  y = 96,
  width = 192,
  height = 48,
  pattern = "water",
}

tile{
  layer = 0,
  x = 200,
  y = 168,
  width = 48,
  height = 64,
  pattern = "water",
}

tile{
  layer = 0,
  x = 192,
  y = 88,
  width = 128,
  height = 8,
  pattern = "floor_border.1",
}

tile{
  layer = 0,
  x = 192,
  y = 96,
  width = 8,
  height = 48,
  pattern = "floor_border.1",
}

tile{
  layer = 0,
  x = 192,
  y = 144,
  width = 8,
  height = 32,
  pattern = "floor_border.1",
}

tile{
  layer = 0,
  x = 192,
  y = 176,
  width = 8,
  height = 24,
  pattern = "floor_border.1",
}

tile{
  layer = 0,
  x = 256,
  y = 136,
  width = 56,
  height = 8,
  pattern = "floor_border.1",
}

tile{
  layer = 0,
  x = 248,
  y = 136,
  width = 8,
  height = 40,
  pattern = "floor_border.1",
}

tile{
  layer = 0,
  x = 248,
  y = 176,
  width = 8,
  height = 24,
  pattern = "floor_border.1",
}

tile{
  layer = 0,
  x = 56,
  y = 232,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 80,
  y = 232,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 104,
  y = 232,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 128,
  y = 232,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 152,
  y = 232,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 176,
  y = 232,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 200,
  y = 232,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 224,
  y = 232,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 104,
  y = 56,
  width = 8,
  height = 8,
  pattern = "stairs_inner_up.1.top.border.1",
}

tile{
  layer = 0,
  x = 112,
  y = 56,
  width = 16,
  height = 8,
  pattern = "stairs_inner_up.1.top",
}

