map{ id = "28", description = "Link's House" }
map{ id = "BORRADORES", description = "BORRADORES" }
map{ id = "asentamiento_bosque_1", description = "asentamiento_bosque_1" }
map{ id = "barcos/barco_exterior_1", description = "barco_exterior_1" }
map{ id = "barcos/barco_interior_1", description = "barco_interior_1" }
map{ id = "bosque_caminos", description = "bosque_caminos" }
map{ id = "castillo_1_Calabozos_PisoInferior", description = "castillo_1_Calabozos_PisoInferior" }
map{ id = "castillo_1_Calabozos_PisoSuperior", description = "castillo_1_Calabozos_PisoSuperior" }
map{ id = "castillo_1_afueras", description = "castillo_1_afueras" }
map{ id = "castillo_1_castilloOscuro", description = "castillo_1_castilloOscuro" }
map{ id = "castillo_1_granja", description = "castillo_1_granja" }
map{ id = "castillo_1_interior_PISO1", description = "castillo_1_interior_PISO1" }
map{ id = "castillo_1_interior_PISO2_Derecha", description = "castillo_1_interior_PISO2_Derecha" }
map{ id = "castillo_1_interior_PISO2_Izquierda", description = "castillo_1_interior_PISO2_Izquierda" }
map{ id = "castillo_1_interior_cocinas", description = "castillo_1_interior_cocinas" }
map{ id = "castillo_aldea", description = "castillo_aldea" }
map{ id = "faro_exterior", description = "faro_exterior" }
map{ id = "faro_exterior_2", description = "faro_exterior_2" }
map{ id = "iglesia_1", description = "iglesia_1" }
map{ id = "iglesia_1_catacumbas", description = "iglesia_1_catacumbas" }
map{ id = "pantano_bosque", description = "pantano_bosque" }
map{ id = "pantano_casa_de_bruja", description = "pantano_casa_de_bruja" }
map{ id = "pruebas_bioshock_escenario1", description = "pruebas_bioshock_escenario1" }
map{ id = "puerto_1", description = "puerto_1" }
map{ id = "taberna_1", description = "taberna_1" }

tileset{ id = "0", description = "House" }
tileset{ id = "1", description = "Light World" }
tileset{ id = "10", description = "Orange dungeon (DW)" }
tileset{ id = "11", description = "Pink dungeon (LW)" }
tileset{ id = "12", description = "Castle" }
tileset{ id = "13", description = "Dark World" }
tileset{ id = "14", description = "Forest dungeon" }
tileset{ id = "15", description = "Final dungeon" }
tileset{ id = "16", description = "Old school dungeon" }
tileset{ id = "17", description = "Gray dungeon (DW)" }
tileset{ id = "18", description = "Gray-brown dungeon (DW)" }
tileset{ id = "19", description = "Gray-blue dungeon (DW)" }
tileset{ id = "2", description = "Ice dungeon" }
tileset{ id = "3", description = "Cave" }
tileset{ id = "4", description = "Blue dungeon (LW)" }
tileset{ id = "5", description = "Green dungeon (LW)" }
tileset{ id = "6", description = "Intro" }
tileset{ id = "7", description = "Brown dungeon (LW)" }
tileset{ id = "8", description = "Blue dungeon (DW)" }
tileset{ id = "9", description = "Green dungeon (DW)" }
tileset{ id = "TABERNA", description = "TABERNA" }
tileset{ id = "afueras_aldea_castillo", description = "afueras_aldea_castillo" }
tileset{ id = "asentamiento_bosque", description = "asentamiento_bosque" }
tileset{ id = "barco_exterior_1", description = "barco_exterior_1" }
tileset{ id = "barco_interior_1", description = "barco_interior_1" }
tileset{ id = "bioshock_fabrica", description = "bioshock_fabrica" }
tileset{ id = "casa", description = "casa" }
tileset{ id = "castillo_interior_basico", description = "castillo_interior_basico" }
tileset{ id = "castillo_interior_cocina", description = "castillo_interior_cocina" }
tileset{ id = "castillo_oscuro", description = "castillo_oscuro" }
tileset{ id = "castilloo", description = "castilloo" }
tileset{ id = "cave", description = "cave" }
tileset{ id = "faro_exterior", description = "faro_exterior" }
tileset{ id = "faro_exterior_2", description = "faro_exterior_2" }
tileset{ id = "granja_exterior", description = "granja_exterior" }
tileset{ id = "iglesia_1", description = "iglesia_1" }
tileset{ id = "pantano_1", description = "pantano_1" }
tileset{ id = "puerto_1", description = "puerto_1" }

sprite{ id = "animales/caballo_armadura", description = "caballo_armadura" }
