properties{
  x = 0,
  y = 0,
  width = 320,
  height = 1230,
  min_layer = 0,
  max_layer = 2,
  tileset = "cave",
  music = "lunarius",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 320,
  height = 1232,
  pattern = "hole",
}

tile{
  layer = 0,
  x = 72,
  y = 64,
  width = 32,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 128,
  y = 296,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 72,
  y = 288,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 96,
  y = 296,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 88,
  y = 88,
  width = 48,
  height = 208,
  pattern = "floor.cracked.7",
}

tile{
  layer = 0,
  x = 72,
  y = 80,
  width = 16,
  height = 16,
  pattern = "floor.cracked.7",
}

tile{
  layer = 0,
  x = 72,
  y = 96,
  width = 16,
  height = 16,
  pattern = "floor.cracked.7",
}

tile{
  layer = 0,
  x = 72,
  y = 112,
  width = 16,
  height = 128,
  pattern = "floor.cracked.7",
}

tile{
  layer = 0,
  x = 88,
  y = 64,
  width = 16,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 64,
  y = 64,
  width = 24,
  height = 24,
  pattern = "wall_low.corner_reverse.4",
}

tile{
  layer = 0,
  x = 64,
  y = 80,
  width = 24,
  height = 16,
  pattern = "wall_low.4",
}

tile{
  layer = 0,
  x = 64,
  y = 160,
  width = 24,
  height = 80,
  pattern = "wall_low.4",
}

tile{
  layer = 0,
  x = 72,
  y = 296,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 112,
  y = 296,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 72,
  y = 288,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 128,
  y = 288,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 136,
  y = 272,
  width = 24,
  height = 16,
  pattern = "wall_low.3",
}

tile{
  layer = 0,
  x = 104,
  y = 64,
  width = 48,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 136,
  y = 88,
  width = 24,
  height = 16,
  pattern = "wall_low.3",
}

tile{
  layer = 0,
  x = 136,
  y = 64,
  width = 24,
  height = 24,
  pattern = "wall_low.corner_reverse.3",
}

tile{
  layer = 0,
  x = 136,
  y = 104,
  width = 24,
  height = 16,
  pattern = "wall_low.3",
}

tile{
  layer = 0,
  x = 136,
  y = 120,
  width = 24,
  height = 16,
  pattern = "wall_low.3",
}

tile{
  layer = 0,
  x = 136,
  y = 136,
  width = 24,
  height = 16,
  pattern = "wall_low.3",
}

tile{
  layer = 0,
  x = 136,
  y = 192,
  width = 24,
  height = 16,
  pattern = "wall_low.3",
}

tile{
  layer = 0,
  x = 136,
  y = 208,
  width = 24,
  height = 16,
  pattern = "wall_low.3",
}

tile{
  layer = 0,
  x = 136,
  y = 176,
  width = 24,
  height = 16,
  pattern = "wall_low.3",
}

tile{
  layer = 0,
  x = 136,
  y = 160,
  width = 24,
  height = 16,
  pattern = "wall_low.3",
}

tile{
  layer = 0,
  x = 136,
  y = 152,
  width = 24,
  height = 16,
  pattern = "wall_low.3",
}

tile{
  layer = 0,
  x = 136,
  y = 296,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 136,
  y = 80,
  width = 24,
  height = 16,
  pattern = "wall_low.3",
}

tile{
  layer = 0,
  x = 64,
  y = 288,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 64,
  y = 296,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 136,
  y = 64,
  width = 24,
  height = 24,
  pattern = "wall_low.corner_reverse.3",
}

tile{
  layer = 0,
  x = 104,
  y = 288,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 96,
  y = 288,
  width = 24,
  height = 16,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 112,
  y = 144,
  width = 8,
  height = 8,
  pattern = "floor_border.2",
}

tile{
  layer = 0,
  x = 112,
  y = 120,
  width = 8,
  height = 24,
  pattern = "floor_border.2",
}

tile{
  layer = 0,
  x = 120,
  y = 120,
  width = 16,
  height = 8,
  pattern = "floor_border.2",
}

tile{
  layer = 0,
  x = 120,
  y = 128,
  width = 16,
  height = 24,
  pattern = "stairs_inner_up.1",
}

tile{
  layer = 0,
  x = 64,
  y = 240,
  width = 24,
  height = 48,
  pattern = "wall_low.4",
}

tile{
  layer = 0,
  x = 136,
  y = 224,
  width = 24,
  height = 48,
  pattern = "wall_low.3",
}

tile{
  layer = 0,
  x = 136,
  y = 272,
  width = 24,
  height = 24,
  pattern = "wall_low.corner_reverse.1",
}

tile{
  layer = 0,
  x = 64,
  y = 96,
  width = 24,
  height = 16,
  pattern = "wall_low.4",
}

tile{
  layer = 0,
  x = 64,
  y = 104,
  width = 24,
  height = 16,
  pattern = "wall_low.4",
}

tile{
  layer = 0,
  x = 64,
  y = 152,
  width = 24,
  height = 16,
  pattern = "wall_low.4",
}

tile{
  layer = 0,
  x = 64,
  y = 120,
  width = 16,
  height = 32,
  pattern = "floor.cracked.7",
}

tile{
  layer = 0,
  x = 72,
  y = 128,
  width = 16,
  height = 8,
  pattern = "wall_tunnel.3a",
}

tile{
  layer = 0,
  x = 64,
  y = 128,
  width = 8,
  height = 8,
  pattern = "wall_tunnel.3.support.1",
}

tile{
  layer = 0,
  x = 64,
  y = 136,
  width = 8,
  height = 8,
  pattern = "wall_tunnel.3.support.2",
}

tile{
  layer = 0,
  x = 72,
  y = 136,
  width = 16,
  height = 8,
  pattern = "wall_tunnel.3b",
}

tile{
  layer = 0,
  x = 64,
  y = 120,
  width = 24,
  height = 8,
  pattern = "wall_tunnel.3.support.3",
}

tile{
  layer = 0,
  x = 64,
  y = 144,
  width = 24,
  height = 8,
  pattern = "wall_tunnel.3.support.4",
}

tile{
