properties{
  x = 0,
  y = 0,
  width = 432,
  height = 1700,
  min_layer = 0,
  max_layer = 2,
  tileset = "castillo_interior_basico",
  music = "Medieval Music - Royal Castle",
}

tile{
  layer = 0,
  x = 336,
  y = 64,
  width = 32,
  height = 32,
  pattern = "16",
}

tile{
  layer = 0,
  x = 312,
  y = 64,
  width = 8,
  height = 32,
  pattern = "13",
}

tile{
  layer = 0,
  x = 320,
  y = 64,
  width = 8,
  height = 32,
  pattern = "14",
}

tile{
  layer = 0,
  x = 328,
  y = 64,
  width = 8,
  height = 32,
  pattern = "15",
}

tile{
  layer = 0,
  x = 368,
  y = 64,
  width = 8,
  height = 160,
  pattern = "11",
}

tile{
  layer = 0,
  x = 304,
  y = 152,
  width = 16,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 320,
  y = 152,
  width = 16,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 352,
  y = 152,
  width = 16,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 304,
  y = 64,
  width = 8,
  height = 32,
  pattern = "13",
}

tile{
  layer = 0,
  x = 296,
  y = 96,
  width = 16,
  height = 64,
  pattern = "261",
}

tile{
  layer = 0,
  x = 304,
  y = 96,
  width = 64,
  height = 64,
  pattern = "67",
}

tile{
  layer = 0,
  x = 296,
  y = 64,
  width = 8,
  height = 32,
  pattern = "9",
}

tile{
  layer = 0,
  x = 296,
  y = 96,
  width = 8,
  height = 64,
  pattern = "10",
}

tile{
  layer = 0,
  x = 312,
  y = 104,
  width = 16,
  height = 16,
  pattern = "5",
}

tile{
  layer = 0,
  x = 344,
  y = 64,
  width = 16,
  height = 32,
  pattern = "20",
}

tile{
  layer = 0,
  x = 328,
  y = 64,
  width = 16,
  height = 32,
  pattern = "19",
}

tile{
  layer = 0,
  x = 48,
  y = 152,
  width = 320,
  height = 96,
  pattern = "67",
}

tile{
  layer = 0,
  x = 256,
  y = 152,
  width = 32,
  height = 32,
  pattern = "15",
}

tile{
  layer = 0,
  x = 184,
  y = 152,
  width = 32,
  height = 32,
  pattern = "15",
}

tile{
  layer = 0,
  x = 248,
  y = 152,
  width = 16,
  height = 32,
  pattern = "17",
}

tile{
  layer = 0,
  x = 232,
  y = 152,
  width = 16,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 216,
  y = 152,
  width = 16,
  height = 32,
  pattern = "17",
}

tile{
  layer = 0,
  x = 48,
  y = 152,
  width = 8,
  height = 32,
  pattern = "9",
}

tile{
  layer = 0,
  x = 64,
  y = 152,
  width = 8,
  height = 32,
  pattern = "14",
}

tile{
  layer = 0,
  x = 56,
  y = 152,
  width = 8,
  height = 32,
  pattern = "13",
}

tile{
  layer = 0,
  x = 72,
  y = 152,
  width = 16,
  height = 32,
  pattern = "17",
}

tile{
  layer = 0,
  x = 88,
  y = 152,
  width = 16,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 88,
  y = 160,
  width = 16,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 104,
  y = 152,
  width = 16,
  height = 32,
  pattern = "17",
}

tile{
  layer = 0,
  x = 120,
  y = 152,
  width = 32,
  height = 32,
  pattern = "15",
}

tile{
  layer = 0,
  x = 176,
  y = 152,
  width = 8,
  height = 32,
  pattern = "14",
}

tile{
  layer = 0,
  x = 168,
  y = 152,
  width = 8,
  height = 32,
  pattern = "14",
}

tile{
  layer = 0,
  x = 152,
  y = 152,
  width = 16,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 152,
  y = 160,
  width = 16,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 136,
  y = 152,
  width = 16,
  height = 32,
  pattern = "17",
}

tile{
  layer = 0,
  x = 168,
  y = 152,
  width = 16,
  height = 32,
  pattern = "17",
}

tile{
  layer = 0,
  x = 120,
  y = 168,
  width = 16,
  height = 24,
  pattern = "39",
}

tile{
  layer = 0,
  x = 192,
  y = 168,
  width = 16,
  height = 24,
  pattern = "39",
}

tile{
  layer = 0,
  x = 48,
  y = 248,
  width = 128,
  height = 96,
  pattern = "67",
}

tile{
  layer = 0,
  x = 352,
  y = 240,
  width = 16,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 320,
  y = 240,
  width = 16,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 368,
  y = 216,
  width = 8,
  height = 32,
  pattern = "11",
}

tile{
  layer = 0,
  x = 104,
  y = 184,
  width = 8,
  height = 8,
  pattern = "165",
}

tile{
  layer = 0,
  x = 80,
  y = 184,
  width = 8,
  height = 8,
  pattern = "162",
}

tile{
  layer = 0,
  x = 88,
  y = 184,
  width = 16,
  height = 8,
  pattern = "182",
}

tile{
  layer = 0,
  x = 168,
  y = 184,
  width = 8,
  height = 8,
  pattern = "165",
}

tile{
  layer = 0,
  x = 144,
  y = 184,
  width = 8,
  height = 8,
  pattern = "162",
}

tile{
  layer = 0,
  x = 152,
  y = 184,
  width = 16,
  height = 8,
  pattern = "182",
}

tile{
  layer = 0,
  x = 248,
  y = 184,
  width = 8,
  height = 8,
  pattern = "165",
}

tile{
  layer = 0,
  x = 224,
  y = 184,
  width = 8,
  height = 8,
  pattern = "162",
}

tile{
  layer = 0,
  x = 232,
  y = 184,
  width = 16,
  height = 8,
  pattern = "182",
}

tile{
  layer = 0,
  x = 288,
  y = 152,
  width = 16,
  height = 32,
  pattern = "17",
}

tile{
  layer = 0,
  x = 232,
  y = 160,
  width = 16,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 168,
  y = 312,
  width = 8,
  height = 32,
  pattern = "12",
}

tile{
  layer = 0,
  x = 176,
  y = 240,
  width = 144,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 96,
  y = 240,
  width = 80,
  height = 32,
  pattern = "15",
}

tile{
  layer = 0,
  x = 136,
  y = 248,
  width = 24,
  height = 32,
  pattern = "203",
}

tile{
  layer = 0,
  x = 160,
  y = 256,
  width = 8,
  height = 32,
  pattern = "206",
}

tile{
  layer = 0,
  x = 160,
  y = 272,
  width = 8,
  height = 32,
