properties{
  x = 0,
  y = 0,
  width = 432,
  height = 1450,
  min_layer = 0,
  max_layer = 2,
  floor = -1,
  tileset = "castillo_interior_cocina",
  music = "Medieval Music - Royal Castle",
}

tile{
  layer = 0,
  x = 48,
  y = 176,
  width = 336,
  height = 160,
  pattern = "438",
}

tile{
  layer = 0,
  x = 56,
  y = 176,
  width = 96,
  height = 32,
  pattern = "14",
}

tile{
  layer = 0,
  x = 56,
  y = 152,
  width = 96,
  height = 32,
  pattern = "13",
}

tile{
  layer = 0,
  x = 48,
  y = 144,
  width = 8,
  height = 32,
  pattern = "9",
}

tile{
  layer = 0,
  x = 200,
  y = 176,
  width = 184,
  height = 32,
  pattern = "14",
}

tile{
  layer = 0,
  x = 48,
  y = 176,
  width = 8,
  height = 32,
  pattern = "9",
}

tile{
  layer = 0,
  x = 200,
  y = 152,
  width = 184,
  height = 32,
  pattern = "14",
}

tile{
  layer = 0,
  x = 56,
  y = 144,
  width = 96,
  height = 32,
  pattern = "13",
}

tile{
  layer = 0,
  x = 200,
  y = 144,
  width = 184,
  height = 32,
  pattern = "14",
}

tile{
  layer = 0,
  x = 256,
  y = 152,
  width = 96,
  height = 48,
  pattern = "499",
}

tile{
  layer = 0,
  x = 280,
  y = 200,
  width = 48,
  height = 48,
  pattern = "503",
}

tile{
  layer = 0,
  x = 256,
  y = 200,
  width = 24,
  height = 48,
  pattern = "500",
}

tile{
  layer = 0,
  x = 328,
  y = 216,
  width = 24,
  height = 32,
  pattern = "501",
}

tile{
  layer = 0,
  x = 328,
  y = 200,
  width = 24,
  height = 16,
  pattern = "502",
}

tile{
  layer = 0,
  x = 256,
  y = 184,
  width = 24,
  height = 48,
  pattern = "504",
}

tile{
  layer = 0,
  x = 328,
  y = 184,
  width = 24,
  height = 48,
  pattern = "505",
}

tile{
  layer = 0,
  x = 152,
  y = 80,
  width = 48,
  height = 96,
  pattern = "438",
}

tile{
  layer = 0,
  x = 192,
  y = 152,
  width = 8,
  height = 56,
  pattern = "568",
}

tile{
  layer = 0,
  x = 152,
  y = 152,
  width = 8,
  height = 56,
  pattern = "566",
}

tile{
  layer = 0,
  x = 48,
  y = 208,
  width = 8,
  height = 128,
  pattern = "10",
}

tile{
  layer = 0,
  x = 376,
  y = 144,
  width = 8,
  height = 32,
  pattern = "11",
}

tile{
  layer = 0,
  x = 376,
  y = 176,
  width = 8,
  height = 32,
  pattern = "11",
}

tile{
  layer = 0,
  x = 376,
  y = 208,
  width = 8,
  height = 128,
  pattern = "12",
}

tile{
  layer = 0,
  x = 264,
  y = 136,
  width = 32,
  height = 32,
  pattern = "517",
}

tile{
  layer = 0,
  x = 280,
  y = 144,
  width = 32,
  height = 32,
  pattern = "518",
}

tile{
  layer = 0,
  x = 312,
  y = 136,
  width = 24,
  height = 24,
  pattern = "512",
}

tile{
  layer = 0,
  x = 328,
  y = 144,
  width = 24,
  height = 24,
  pattern = "493",
}

tile{
  layer = 0,
  x = 104,
  y = 192,
  width = 32,
  height = 32,
  pattern = "393",
}

tile{
  layer = 0,
  x = 72,
  y = 192,
  width = 32,
  height = 32,
  pattern = "392",
}

tile{
  layer = 0,
  x = 56,
  y = 272,
  width = 80,
  height = 32,
  pattern = "350",
}

tile{
  layer = 0,
  x = 56,
  y = 184,
  width = 16,
  height = 16,
  pattern = "345",
}

tile{
  layer = 0,
  x = 56,
  y = 216,
  width = 16,
  height = 64,
  pattern = "349",
}

tile{
  layer = 0,
  x = 56,
  y = 200,
  width = 16,
  height = 16,
  pattern = "347",
}

tile{
  layer = 0,
  x = 64,
  y = 176,
  width = 32,
  height = 32,
  pattern = "260",
}

tile{
  layer = 0,
  x = 96,
  y = 184,
  width = 16,
  height = 16,
  pattern = "54",
}

tile{
  layer = 0,
  x = 96,
  y = 176,
  width = 16,
  height = 16,
  pattern = "54",
}

tile{
  layer = 0,
  x = 112,
  y = 184,
  width = 16,
  height = 16,
  pattern = "54",
}

tile{
  layer = 0,
  x = 56,
  y = 200,
  width = 16,
  height = 16,
  pattern = "56",
}

tile{
  layer = 0,
  x = 96,
  y = 192,
  width = 32,
  height = 16,
  pattern = "513",
}

tile{
  layer = 0,
  x = 216,
  y = 176,
  width = 32,
  height = 8,
  pattern = "334",
}

tile{
  layer = 0,
  x = 216,
  y = 216,
  width = 32,
  height = 8,
  pattern = "339",
}

tile{
  layer = 0,
  x = 216,
  y = 184,
  width = 32,
  height = 8,
  pattern = "335",
}

tile{
  layer = 0,
  x = 216,
  y = 192,
  width = 32,
  height = 8,
  pattern = "336",
}

tile{
  layer = 0,
  x = 216,
  y = 200,
  width = 32,
  height = 8,
  pattern = "337",
}

tile{
  layer = 0,
  x = 216,
  y = 208,
  width = 32,
  height = 8,
  pattern = "338",
}

tile{
  layer = 0,
  x = 216,
  y = 160,
  width = 32,
  height = 32,
  pattern = "330",
}

tile{
  layer = 0,
  x = 48,
  y = 328,
  width = 128,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 208,
  y = 328,
  width = 16,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 88,
  y = 152,
  width = 16,
  height = 16,
  pattern = "8",
}

tile{
  layer = 0,
  x = 224,
  y = 328,
  width = 160,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 56,
  y = 240,
  width = 16,
  height = 16,
  pattern = "202",
}

tile{
  layer = 0,
  x = 48,
  y = 512,
  width = 336,
  height = 160,
  pattern = "438",
}

tile{
  layer = 0,
  x = 56,
  y = 512,
  width = 96,
  height = 32,
  pattern = "14",
}

tile{
  layer = 0,
  x = 56,
  y = 488,
  width = 96,
  height = 32,
  pattern = "13",
}

tile{
  layer = 0,
  x = 48,
  y = 480,
  width = 8,
  height = 32,
  pattern = "9",
}

tile{
  layer = 0,
  x = 152,
  y = 512,
  width = 232,
  height = 32,
  pattern = "14",
}

tile{
  layer = 0,
  x = 152,
  y = 488,
  width = 232,
  height = 32,
  pattern = "14",
}

tile{
  layer = 0,
  x = 56,
  y = 472,
  width = 144,
  height = 32,
  pattern = "13",
}

tile{
  layer = 0,
  x = 200,
  y = 472,
  width = 184,
